data,hora,valor_transacao
12/01/2025,08:14,150.75
03/02/2025,09:32,2300.00
17/02/2025,11:05,89.90
28/02/2025,13:47,4750.25
05/03/2025,07:22,320.10
11/03/2025,14:58,1100.00
19/03/2025,16:30,55.40
22/03/2025,10:11,980.60
01/04/2025,08:45,670.00
08/04/2025,12:00,3200.99
14/04/2025,15:33,410.80
23/04/2025,09:17,125.50
02/05/2025,11:48,8900.00
10/05/2025,13:05,260.35
16/05/2025,17:20,740.90
21/05/2025,08:59,1550.00
29/05/2025,10:42,390.15
04/06/2025,14:10,2200.75
12/06/2025,16:55,180.00
18/06/2025,09:38,5600.50
25/06/2025,11:22,430.25
30/06/2025,13:00,99.99
07/07/2025,07:45,3750.00
15/07/2025,10:30,820.40
20/07/2025,12:15,1450.60
27/07/2025,15:00,290.80
01/08/2025,08:05,6700.00
09/08/2025,09:50,530.20
17/08/2025,14:35,175.45
25/08/2025,16:48,2950.00
